"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
7013,"08WA","closed","Manchester Laboratory Heliport",47.574299,-122.547997,2,"NA","US","US-WA","Manchester","no",,,,,,"08WA"
7014,"08WI","closed","Pierick Airport",43.04359817504883,-90.3551025390625,1225,"NA","US","US-WI","Highland","no",,,,,,"08WI, 08WI, 08WI"
322194,"08XA","small_airport","Knolle Ranch Airport",30.479253,-96.504031,280,"NA","US","US-TX","Snook","no","08XA",,"08XA",,,
7015,"08XS","small_airport","Peterson Airport",29.10810089111328,-95.77749633789062,45,"NA","US","US-TX","Old Ocean","no","08XS",,"08XS",,,
329058,"09AA","heliport","Sheldon Chalet Heliport",62.969888,-150.75375,5742,"NA","US","US-AK","Talkeetna","no","09AA",,"09AA",,,
45270,"09AK","small_airport","West Beaver Airport",61.589361,-149.847333,228,"NA","US","US-AK","Big Lake","no","09AK",,"09AK",,,
352228,"09AL","heliport","Greene County Hospital & Nursing Home Heliport",32.842385,-87.890523,218,"NA","US","US-AL","Eutaw","no","09AL",,"09AL",,,
7016,"09AR","heliport","Magnolia Hospital Heliport",33.27320098876953,-93.23989868164062,310,"NA","US","US-AR","Magnolia","no","09AR",,"09AR",,,
7017,"09AZ","small_airport","Stronghold Airport",31.924848,-110.040007,4970,"NA","US","US-AZ","St David","no","09AZ",,"09AZ",,,
7018,"09CA","heliport","Mee Memorial Hospital Heliport",36.205514,-121.132541,320,"NA","US","US-CA","King City","no","09CA",,"09CA",,,
7019,"09CL","small_airport","Alta Sierra Airport",39.113800048828125,-121.05699920654297,2275,"NA","US","US-CA","Grass Valley","no","09CL",,"09CL",,,
45317,"09CN","heliport","Tulare Motor Sports #2 Heliport",36.182556,-119.313572,272,"NA","US","US-CA","Tulare","no","09CN",,"09CN",,,
7020,"09CO","small_airport","Cottonwood Field",38.055275,-103.650769,4180,"NA","US","US-CO","Rocky Ford","no","09CO",,"09CO",,,
7021,"09FA","small_airport","Placid Lakes Airport",27.2455997467041,-81.41310119628906,130,"NA","US","US-FL","Lake Placid","no","09FA",,"09FA",,,
7022,"09FD","small_airport","Cheryl-Lane Landings Airport",28.671100616455078,-82.0873031616211,71,"NA","US","US-FL","Bushnell","no","09FD",,"09FD",,,
7023,"09FL","closed","Sunnybreeze Airport",27.049955,-81.970739,60,"NA","US","US-FL","Arcadia","no",,,,,,"09FL"
7024,"09GA","small_airport","Sunbelt Strip",31.120995,-83.67063,230,"NA","US","US-GA","Moultrie","no","09GA",,"09GA",,,
7025,"09I","seaplane_base","International Falls Seaplane Base",48.60580062866211,-93.37079620361328,1110,"NA","US","US-MN","International Falls","no","09I",,"09I",,,
7026,"09IA","small_airport","Skydive Iowa Airport",41.745441,-92.411547,820,"NA","US","US-IA","Brooklyn","no","09IA",,"09IA",,,"Val-Air Airport"
7027,"09ID","small_airport","Taylor Ranch Landing Area Airport",45.10390090942383,-114.8550033569336,3835,"NA","US","US-ID","Moscow","no","09ID",,"09ID",,,
7028,"09II","small_airport","Gibbons Field",38.44729995727539,-86.44499969482422,880,"NA","US","US-IN","Valeene","no","09II",,"09II",,,
7029,"09IL","closed","Silver Cross Hospital Heliport",41.536183,-88.052279,610,"NA","US","US-IL","Joliet","no",,,,,,"09IL"
7030,"09IN","small_airport","Gordon Airport",41.123265,-85.42496,850,"NA","US","US-IN","Columbia City","no","09IN",,"09IN",,,
7031,"09IS","heliport","Swedish American Heliport",42.26499938964844,-89.07430267333984,874,"NA","US","US-IL","Rockford","no","09IS",,"09IS",,,
7032,"09KS","small_airport","Coffman Airport",38.707000732421875,-95.13829803466797,970,"NA","US","US-KS","Wellsville","no","09KS",,"09KS",,,
7033,"09KY","heliport","Baptist Hospital East Heliport",38.23899841308594,-85.63939666748047,531,"NA","US","US-KY","Louisville","no","09KY",,"09KY",,,
7034,"09LA","heliport","Era Helicopters Fourchon Helibase Heliport",29.126972,-90.206659,2,"NA","US","US-LA","Golden Meadow","no","09LA",,"09LA",,,
7035,"09LL","small_airport","Pine Hill Airport",42.468101501464844,-88.74320220947266,1000,"NA","US","US-IL","Capron","no","09LL",,"09LL",,,
7036,"09LS","heliport","West Feliciana Sheriff's Office Heliport",30.824399948120117,-91.38459777832031,181,"NA","US","US-LA","St Francisville","no","09LS",,"09LS",,,
7037,"09MA","small_airport","Kallander Field",42.304298400878906,-71.50589752197266,403,"NA","US","US-MA","Southborough","no","09MA",,"09MA",,,
541158,"09MD","heliport","Fly Deep Creek Heliport",39.576412,-79.372047,2628,"NA","US","US-MD","McHenry","no","09MD",,"09MD",,,
7038,"09ME","small_airport","Perrotti Skyranch Airfield",43.34080123901367,-70.85469818115234,260,"NA","US","US-ME","Berwick","no","09ME",,"09ME",,,
7039,"09MI","heliport","Michigan National Guard Headquarters Heliport",42.708099365234375,-84.56079864501953,842,"NA","US","US-MI","Lansing","no","09MI",,"09MI",,,
7040,"09MN","closed","W Johnson Field",44.779999,-95.663109,1060,"NA","US","US-MN","Hazel Run","no",,,,,,"09MN"
7041,"09MO","small_airport","Hogue Farm Airport",37.37839889526367,-93.36329650878906,1210,"NA","US","US-MO","Willard","no","09MO",,"09MO",,,
523550,"09MT","small_airport","Paint Creek Ranch Airport",45.909346,-113.763183,5060,"NA","US","US-MT","Sula","no","09MT",,"09MT",,,
7042,"09N","small_airport","Airhaven Airport",41.83259963989258,-73.8759994506836,450,"NA","US","US-NY","Staatsburg","no","09N",,"09N",,,
7043,"09NC","small_airport","William Irving Lewis Airport",35.32929992675781,-79.02999877929688,310,"NA","US","US-NC","Broadway","no","09NC",,"09NC",,,
7044,"09NE","small_airport","Summer Hill Farm Airport",41.33330154418945,-96.193603515625,1250,"NA","US","US-NE","Bennington","no","09NE",,"09NE",,,
7045,"09NJ","heliport","Stonebridge Farm Helistop",40.65370178222656,-74.6865005493164,100,"NA","US","US-NJ","Somerville","no","09NJ",,"09NJ",,,
324843,"09NR","small_airport","Dakota Air Ranch Airport",35.650122,-79.650311,561,"NA","US","US-NC","Ramseur","no","09NR",,"09NR",,,
557310,"09NV","heliport","West Henderson Hospital Heliport",35.979689,-115.150183,2374,"NA","US","US-NV","Henderson","no","09NV",,"09NV",,,
7046,"09NY","heliport","Spring Lake Fire Department Heliport",41.92890167236328,-74.04889678955078,254,"NA","US","US-NY","Kingston","no","09NY",,"09NY",,,
7047,"09OK","small_airport","Ragtime Aerodrome",36.35449981689453,-95.86389923095703,700,"NA","US","US-OK","Collinsville","no","09OK",,"09OK",,,
7048,"09OR","heliport","Mid-Columbia Medical Center Heliport",45.587235,-121.163827,487,"NA","US","US-OR","The Dalles","no","09OR",,"09OR",,"https://en.wikipedia.org/wiki/Mid-Columbia_Medical_Center_Heliport",
7049,"09PA","small_airport","Eagle Field",40.82699966430664,-77.98809814453125,1780,"NA","US","US-PA","Port Matilda","no","09PA",,"09PA",,,
